country_code,year,BANK,ATM,DEP,LOAN
ABW,2010,,,83.44098507720962,60.47889998497247
ABW,2011,20.77630035197497,109.9921783339851,74.53969591911508,58.0430008238436
ABW,2012,21.54295425712713,117.2894176221366,81.43947517954722,60.68061317348896
ABW,2013,18.78397257540004,120.9218234541378,77.90900805881812,61.76849585795181
ABW,2014,18.53289008837872,114.6722574218433,78.1499193293325,62.62455911378367
ABW,2015,18.31355088305653,115.6042899492944,77.51542348593408,59.06970736857983
ABW,2016,19.28990457170738,122.5476290437881,81.92935021748045,58.66667540458104
ABW,2017,18.13236627379873,122.3934723481414,79.65231372336486,58.35431627058324
ABW,2018,16.94436599830556,124.2586839875741,77.59945637902047,56.61099724097006
ABW,2019,14.61314508604894,124.7737772731871,81.41481761443833,59.20901592738024
ABW,2020,11.26570157156537,120.5430068157495,109.7878892088045,79.7370473512561
ABW,2021,12.44048359552595,117.6191176304272,104.4509069484337,66.48665573602425
ABW,2022,10.171445362386,113.0160595820666,97.17856491823788,60.93573766213986
ABW,2023,10.12270973692202,110.2250615798176,89.08489025740253,60.32334445962726
ABW,2024,10.02193690633943,111.3548545148826,89.76824579897011,61.28681665203342
ABW,2025,11.01139679568353,117.8219457138138,,
AFG,2010,2.592805746921618,0.5745829910075607,21.4077232657082,11.41249513218844
AFG,2011,2.395722077842021,0.6658597179102466,20.65847474778573,4.819159547017637
AFG,2012,2.301049134589802,0.6863924975338898,18.5998849112221,4.079384746944028
AFG,2013,2.442700203395504,0.7641267302929524,18.60857062294167,4.204970190750462
AFG,2014,2.502789892225556,0.8143048453174058,18.49872111133021,3.654432291873274
AFG,2015,2.358476592091062,1.000914456155719,19.32237631998929,3.702095557988512
AFG,2016,2.312414156488292,1.16176576612032,20.84781988824001,3.373754765421542
AFG,2017,2.229770806361236,1.329286442253814,21.02775553703417,3.251829813341828
AFG,2018,2.144286064088525,1.761931440612499,20.58724654524245,3.120830317376616
AFG,2019,2.041675883256375,1.787711322168387,17.53665419959783,2.797800704516914
AGO,2010,7.17555347618397,10.08646502813646,30.30834713101192,30.04950237696935
AGO,2011,8.069935627960309,12.26298986748819,30.49966776406546,29.94433528215708
AGO,2012,8.677069251052313,14.58732677096774,28.83912523386523,26.32076307220245
AGO,2013,9.942166709080071,16.27280301472152,31.28288578212976,19.77800557334968
AGO,2014,9.907864256344544,17.40261910425782,33.10096029918949,19.78325911718959
AGO,2015,9.987312414229333,18.01480133976649,38.64825510132668,22.73192366104102
AGO,2016,9.844555594403555,18.22996268149412,37.3990692697245,19.27274420901248
AGO,2017,9.798636213487995,18.28031638841842,31.59125167972607,15.59274612107911
AGO,2018,9.590883797901364,18.07983626583108,32.54493717866727,14.37964802956466
AGO,2019,9.026404371210768,17.5857317082504,34.00181851861609,14.25507950150044
AGO,2020,8.493015066021503,17.11652460168738,36.57325217426086,11.95919026470571
AGO,2021,7.989834407528022,17.06775810608124,27.35813079406799,8.918334697000912
AGO,2022,7.538525216570044,16.22510076935628,20.49948443182603,7.035984962649922
AGO,2023,7.113527779577842,17.41807906276203,23.44966231879362,8.189008694528875
AGO,2024,6.815882476541649,19.57491091209978,17.79741918810019,7.762365483456474
ALB,2010,23.89292462549485,33.80081630505785,63.27562460005039,37.31655294090979
ALB,2011,23.94175276266062,35.04201995262145,67.56086832293175,39.92760161681693
ALB,2012,24.29599716868307,36.09315102856709,70.07823006762241,39.88256425096331
ALB,2013,24.12231296244576,36.38264450482645,71.31806141905751,38.93516613436412
ALB,2014,23.0318913431394,36.26963860055545,72.04259733985982,38.56194174643698
ALB,2015,23.32180199790104,37.3329621129191,71.60661851493118,36.47407831021394
ALB,2016,23.25200006029988,36.54538319889962,71.94348753427072,35.58218354700824
ALB,2017,22.54989395080611,34.51797291240198,69.13748085666457,34.00116562688324
ALB,2018,21.56015048143208,33.81342472467548,65.96267094533054,30.97920457694381
ALB,2019,20.87907041265281,33.47279542345927,67.47689512847867,31.88668134695493
ALB,2020,20.95481049562682,35.38821543655056,75.04576303806886,35.2690310076374
ALB,2021,18.76196318183453,39.95423247530566,70.31007796522061,35.03924181230155
ALB,2022,19.75949589140457,42.13059597793244,64.54392475601844,32.24442921627865
ALB,2023,19.44354474314528,46.23465009616807,61.39097612493982,29.97808091151545
ALB,2024,20.53823323642592,51.14323596558278,66.23730473420034,32.00188847627533
ALB,2025,21.38405351831475,55.68019663122051,,
AND,2022,47.40153408601224,96.23947829584304,209.8360009136189,120.4344364525544
AND,2023,46.50966132510253,91.6099389736868,172.2328264207646,103.9603207459907
AND,2024,44.32194351722323,90.02894776935969,169.9521002628364,99.27141647724228
ARE,2010,15.19974531670981,65.80719228133118,95.2091897638338,98.69707667691056
ARE,2011,15.29715139627964,70.5970305589366,80.72622283531473,86.2271517811461
ARE,2012,15.36672069139511,73.04477179444108,82.67700592078761,83.85698639486124
ARE,2013,15.36316057878637,72.89296128124072,87.00839500259559,86.78333082732856
ARE,2014,15.08495470484966,72.32124179466497,93.45273086174268,90.61357099740796
ARE,2015,14.37718582350103,72.36658233087687,108.2201763887878,109.2065446079199
ARE,2016,13.33240952695508,70.5366530270691,115.2540760568989,116.1267320015633
ARE,2017,11.90558997408645,69.06284249738115,113.4644844101792,110.189007881197
ARE,2018,11.3424036595758,68.11864847874347,111.9432724685161,105.6046556261114
ARE,2019,10.0849498254694,64.47255077340388,121.8307534252901,114.5641662593584
ARE,2020,8.568820764496927,56.38590092351996,146.8354980092324,138.6196072116757
ARE,2021,8.080604909580408,54.98814114940476,130.9686640833081,117.6861075011666
ARE,2022,7.510340978987207,52.59615375474269,120.3621525772994,101.795660113449
ARE,2023,7.091699667203181,53.06233159351062,133.5651296410559,105.4657899673334
ARG,2010,12.82363966113524,23.52575723347784,15.3246441510652,11.59895042300574
ARG,2011,12.93903466503435,33.11144963373816,14.81538665134329,12.92279314232925
ARG,2012,13.03022338560201,42.26962545999579,16.04888500242043,13.99011671180729
ARG,2013,13.06441225863545,52.36118544293158,16.18930782797723,14.81013591497122
ARG,2014,13.05556512991217,55.64113239483699,15.59953755780008,13.15459515049446
ARG,2015,13.09684660270188,57.45525667675831,17.72922898537309,13.72563943916871
ARG,2016,13.29759701252365,60.3764784911898,18.35315783709615,12.9086587510326
ARG,2017,13.40595420755962,63.48219271355553,18.31808073103799,15.06089874870154
ARG,2018,13.36649155003213,69.63367640464237,21.5151643003631,15.04032747927945
ARG,2019,13.34658226720819,72.73828746593048,18.41423412245993,12.5289911167871
ARG,2020,13.14023481318304,74.7813054276623,23.83857672093443,13.12904193015577
ARG,2021,13.0698750133545,75.79722500045713,21.26372463551771,11.03248958192778
ARG,2022,13.00272301708331,75.31658394832802,23.29050794883467,10.51784473172434
ARG,2023,12.61248935036282,75.87249131688387,27.33360804345099,11.70345218848107
ARG,2024,12.30739581534027,74.12072603418693,19.16507034900127,12.77078471262968
ARM,2010,17.50093914923458,32.11218834592112,16.34479329780304,26.00197601140534
ARM,2011,18.96125883101177,41.32162021704294,19.52770667211301,32.37590880080433
ARM,2012,20.28286799753485,48.03837157310886,21.61397070128764,36.36648017996838
ARM,2013,20.83909050960637,51.68588654062449,24.41870101196974,38.08122492374636
ARM,2014,21.95064170423126,57.44441517692217,26.18974387012741,43.41737599948727
ARM,2015,22.78931177111698,58.99390396325713,28.3605211570088,40.00509059750202
ARM,2016,22.69077341144664,60.06134477854267,32.8454122068919,41.79435724329605
ARM,2017,22.87435228021841,63.00997777558319,35.85479120132915,44.0483420501315
ARM,2018,23.41441438771306,65.03533544218313,35.07352900232394,47.40947418824889
ARM,2019,24.05663473938999,67.89222797049673,35.85458469968342,50.76462274603933
ARM,2020,24.36352408224381,67.84564692347062,39.6230678713288,62.15167350190927
ARM,2021,24.06695172633934,70.34305539663391,41.09071916810314,52.62940871268792
ARM,2022,24.16533967431846,69.63820493973164,40.07262429677662,45.71320971078496
ARM,2023,22.89386888773534,69.18476861678263,42.66573161870038,49.41797035388132
ARM,2024,22.69440554331264,71.471050550972,45.83847138032091,58.54914496632539
ARM,2025,22.43451700404421,71.58250523572039,,
ATG,2010,38.43079382647728,73.78712414683638,69.0630830057566,60.19058404696566
ATG,2011,36.1969111969112,75.41023166023166,71.05167914795433,59.27013956218155
ATG,2012,35.554502088827,77.03475452579183,69.15454695951172,55.08164688705129
ATG,2013,34.99103354765341,81.64574494452464,70.86533625420527,53.82126610857149
ATG,2014,31.63419368754044,79.0854842188511,69.52975277433775,50.06866334811726
ATG,2015,29.79103715367919,76.60552410946077,75.05605210746133,51.45895223396827
ATG,2016,26.61176239898035,70.03095368152724,75.14795135668696,50.23804491873305
ATG,2017,26.3197994154234,67.87737743977614,77.58686424829457,48.16404487332624
ATG,2018,24.68052432402786,68.5570120111885,77.77500874918917,45.99429798066485
